     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        4.11825        5.25236
  1           1           1           2        5.38145        8.72746
  1           1           1           3        6.99714          14.86
  1           1           1           4        8.77268        20.7881
  1           1           1           5        10.6283        26.9206
  1           1           1           6        12.5284        33.6664
  1           1           1           7        14.4554        39.5946
  1           1           1           8           16.4        46.9536
  1           1           1           9        18.3565        50.6331
  1           1           1          10        20.3214        51.8596
  1           1           1          11        22.2926        53.0861
  1           1           1          12        24.2685        55.5391
  1           1           1          13         26.248        57.1745
  1           1           1          14        28.2305        58.8098
  1           1           1          15        30.2152        59.8306
  1           1           1          16        32.2019        60.8524
  1           1           1          17        34.1901        61.8749
  1           1           1          18        36.1796        62.8982
  1           1           1          19        38.1701        64.1247
  1           1           1          20        40.1617        65.5556
  1           1           1          21         42.154        66.5777
  1           1           1          22         44.147        66.9865
  1           1           1          23        46.1407        67.5998
  1           1           1          24        48.1348        68.6219
  1           1           1          25        50.1294         69.644
  1           1           1          26        52.1245        71.0749
  1           1           1          27        54.1199        71.4837
  1           1           1          28        56.1156         72.097
  1           1           1          29        58.1116        73.5279
  1           1           1          30        60.1079          74.55
  1           1           1          31        62.1044        75.3677
  1           1           1          32        64.1012        76.5942
  1           1           1          33        66.0981         77.003
  1           1           1          34        68.0952        77.4118
  1           1           1          35        70.0925        78.0251
  1           1           1          36        72.0899        78.8428
  1           1           1          37        74.0875         80.001
  1           1           1          38        76.0852        80.9549
  1           1           1          39         78.083        81.9088
  1           1           1          40         80.081        82.8628
  1           1           1          41         82.079        83.5444
  1           1           1          42        84.0771        84.5665
  1           1           1          43        86.0753        85.1797
  1           1           1          44        88.0736        87.6327
  1           1           1          45         90.072         88.246
  1           1           1          46        92.0704        89.0637
  1           1           1          47        94.0689        90.0857
  1           1           1          48        96.0675        91.5167

  1           2           2           1       -47.1228        67.5998
  1           2           2           2       -45.1283        66.1663
  1           2           2           3       -43.1342        64.7331
  1           2           2           4       -41.1407        63.3004
  1           2           2           5       -39.1479        61.8681
  1           2           2           6       -37.1559        60.4364
  1           2           2           7       -35.1648        59.0054
  1           2           2           8       -33.1747        57.5751
  1           2           2           9       -31.1859        56.1457
  1           2           2          10       -29.1986        54.7175
  1           2           2          11       -27.2132        53.2905
  1           2           2          12       -25.2301        51.4508
  1           2           2          13       -23.2499        49.4256
  1           2           2          14       -21.2735        47.4043
  1           2           2          15       -19.3018        45.3878
  1           2           2          16       -17.3367        43.3781
  1           2           2          17       -15.3805        41.3775
  1           2           2          18       -13.4373        39.3901
  1           2           2          19       -11.5135        34.8929
  1           2           2          20       -9.62081        27.1251
  1           2           2          21       -7.78203        20.5837
  1           2           2          22       -6.04649        12.6114
  1           2           2          23       -4.53431        9.34072
  1           2           2          24       -3.54401        6.68329
  1           2           2          25        3.54401        6.68329
  1           2           2          26        4.53431        9.34072
  1           2           2          27        6.04649        15.8821
  1           2           2          28        7.78203         22.219
  1           2           2          29        9.62081        28.1472
  1           2           2          30        11.5135        31.4178
  1           2           2          31        13.4373        32.8488
  1           2           2          32        15.3805         35.915
  1           2           2          33        17.3367        37.1415
  1           2           2          34        19.3018         39.799
  1           2           2          35        21.2735        41.6387
  1           2           2          36        23.2499        42.8652
  1           2           2          37        25.2301        45.3182
  1           2           2          38        27.2132        46.1359
  1           2           2          39        29.1986        47.3624
  1           2           2          40        31.1859        48.3845
  1           2           2          41        33.1747        49.2022
  1           2           2          42        35.1648        51.0419
  1           2           2          43        37.1559         52.064
  1           2           2          44        39.1479        53.6994
  1           2           2          45        41.1407        54.9259
  1           2           2          46        43.1342        56.5612
  1           2           2          47        45.1283        57.9921
  1           2           2          48        47.1228        59.6275

  1           3           3           1       -96.0833        95.1962
  1           3           3           2       -94.0851        94.1741
  1           3           3           3       -92.0869        92.9476
  1           3           3           4       -90.0888        91.5167
  1           3           3           5       -88.0909         90.699
  1           3           3           6        -86.093        89.4725
  1           3           3           7       -84.0952        87.8371
  1           3           3           8       -82.0975        86.4062
  1           3           3           9       -80.0999        84.5354
  1           3           3          10       -78.1025        83.2798
  1           3           3          11       -76.1052        82.0242
  1           3           3          12        -74.108        81.2958
  1           3           3          13        -72.111        80.0693
