     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           3           3          14       -70.1142        79.2516
  1           3           3          15       -68.1175        77.8207
  1           3           3          16       -66.1211        76.7986
  1           3           3          17       -64.1249        75.5894
  1           3           3          18       -62.1289        74.1761
  1           3           3          19       -60.1332        72.7629
  1           3           3          20       -58.1378        71.3499
  1           3           3          21       -56.1427        69.9371
  1           3           3          22       -54.1479        68.5247
  1           3           3          23       -52.1536        67.1124
  1           3           3          24       -50.1597        65.7006
  1           3           3          25       -48.1664         64.289
  1           3           3          26       -46.1736        62.4893
  1           3           3          27       -44.1814         60.854
  1           3           3          28         -42.19        59.4231
  1           3           3          29       -40.1995        57.0789
  1           3           3          30       -38.2099        55.5531
  1           3           3          31       -36.2215        54.0282
  1           3           3          32       -34.2345        52.5043
  1           3           3          33        -32.249        50.9817
  1           3           3          34       -30.2655        49.4605
  1           3           3          35       -28.2843        47.9411
  1           3           3          36       -26.3059        46.4239
  1           3           3          37       -24.3311        44.9094
  1           3           3          38       -22.3607        43.2741
  1           3           3          39       -20.3961        41.0255
  1           3           3          40       -18.4391        38.5725
  1           3           3          41       -16.4924         37.346
  1           3           3          42       -14.5602         35.915
  1           3           3          43       -12.6491         33.462
  1           3           3          44       -10.7703        28.7604
  1           3           3          45       -8.94427        21.8102
  1           3           3          46        -7.2111        17.1199
  1           3           3          47       -5.65685         12.407
  1           3           3          48       -4.47214        10.1584
