     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        2.38537         6.8877
  1           1           1           2        4.20595        12.2026
  1           1           1           3        6.13922        16.2909
  1           1           1           4        8.10494        19.3572
  1           1           1           5        10.0841        23.1843
  1           1           1           6        12.0702        26.7162
  1           1           1           7        14.0602        29.2487
  1           1           1           8        16.0527        30.5476
  1           1           1           9        18.0469        32.0311
  1           1           1          10        20.0422        33.6664
  1           1           1          11        22.0384         34.535
  1           1           1          12        24.0352        34.9949
  1           1           1          13        26.0325        35.4549
  1           1           1          14        28.0302        36.1194
  1           1           1          15        30.0282        37.5504
  1           1           1          16        32.0264        38.7769
  1           1           1          17        34.0248         40.085
  1           1           1          18        36.0235        41.3932
  1           1           1          19        38.0222        42.7014
  1           1           1          20        40.0211        44.0098
  1           1           1          21        42.0201        45.1138
  1           1           1          22        44.0192        46.1359
  1           1           1          23        46.0184        46.9536
  1           1           1          24        48.0176        48.4867
  1           1           1          25        50.0169        50.0198
  1           1           1          26        52.0162        51.5529
  1           1           1          27        54.0156        53.0861
  1           1           1          28        56.0151        53.9038
  1           1           1          29        58.0146        54.9259
  1           1           1          30        60.0141        55.1303
  1           1           1          31        62.0136         55.948
  1           1           1          32        64.0132        56.9701
  1           1           1          33        66.0128        57.9921
  1           1           1          34        68.0124        58.8098
  1           1           1          35        70.0121        59.0142
  1           1           1          36        72.0117        60.2407
  1           1           1          37        74.0114        61.4673
  1           1           1          38        76.0111         63.307
  1           1           1          39        78.0108        64.5335
  1           1           1          40        80.0106        64.9424
  1           1           1          41        82.0103        64.9424
  1           1           1          42        84.0101          65.76
  1           1           1          43        86.0098        66.3733
  1           1           1          44        88.0096        67.8042
  1           1           1          45        90.0094        69.0307
  1           1           1          46        92.0092        70.6661
  1           1           1          47         94.009        72.5058
  1           1           1          48        96.0088        73.1191

  1           2           2           1       -47.0239        47.3624
  1           2           2           2        -45.025        46.3045
  1           2           2           3       -43.0262        45.2467
  1           2           2           4       -41.0274        44.1889
  1           2           2           5       -39.0288        43.1312
  1           2           2           6       -37.0304        42.0736
  1           2           2           7       -35.0321        41.0161
  1           2           2           8       -33.0341        39.9587
  1           2           2           9       -31.0363         39.799
  1           2           2          10       -29.0388        39.1857
  1           2           2          11       -27.0416         37.346
  1           2           2          12        -25.045        35.7306
  1           2           2          13       -23.0489        34.6742
  1           2           2          14       -21.0535        33.6183
  1           2           2          15       -19.0591        32.5628
  1           2           2          16        -17.066         31.508
  1           2           2          17       -15.0748        30.4542
  1           2           2          18       -13.0863        29.4018
  1           2           2          19       -11.1018        27.5339
  1           2           2          20       -9.12414        24.0588
  1           2           2          21       -7.15891        19.3941
  1           2           2          22       -5.22015        14.5931
  1           2           2          23        -3.3541        9.34072
  1           2           2          24       -1.80278         6.8877
  1           2           2          25        1.80278        8.11421
  1           2           2          26         3.3541        11.9981
  1           2           2          27        5.22015        16.2909
  1           2           2          28        7.15891        20.6575
  1           2           2          29        9.12414        23.6897
  1           2           2          30        11.1018        27.1251
  1           2           2          31        13.0863        29.5781
  1           2           2          32        15.0748        31.6223
  1           2           2          33         17.066        33.2576
  1           2           2          34        19.0591        34.4841
  1           2           2          35        21.0535        35.5062
  1           2           2          36        23.0489        36.1194
  1           2           2          37         25.045        37.7548
  1           2           2          38        27.0416        38.7769
  1           2           2          39        29.0388        40.0034
  1           2           2          40        31.0363        40.4122
  1           2           2          41        33.0341        40.6166
  1           2           2          42        35.0321        41.4343
  1           2           2          43        37.0304         42.252
  1           2           2          44        39.0288        43.2741
  1           2           2          45        41.0274        44.0917
  1           2           2          46        43.0262        45.5227
  1           2           2          47         45.025        46.5448
  1           2           2          48        47.0239         47.158

  1           3           3           1       -96.0117        72.9146
  1           3           3           2        -94.012        71.8017
  1           3           3           3       -92.0122        70.6887
  1           3           3           4       -90.0125        69.5758
  1           3           3           5       -88.0128        68.4628
  1           3           3           6       -86.0131        67.3954
  1           3           3           7       -84.0134        67.1909
  1           3           3           8       -82.0137         65.124
  1           3           3           9       -80.0141        64.0111
  1           3           3          10       -78.0144        64.5335
  1           3           3          11       -76.0148        61.6717
  1           3           3          12       -74.0152        60.4452
  1           3           3          13       -72.0156        59.5252
  1           3           3          14       -70.0161        58.6053
  1           3           3          15       -68.0165        57.6854
  1           3           3          16        -66.017        56.7655
  1           3           3          17       -64.0176        55.8456
  1           3           3          18       -62.0181        54.9258
  1           3           3          19       -60.0187        54.0059
  1           3           3          20       -58.0194        53.0861
  1           3           3          21       -56.0201         52.064
  1           3           3          22       -54.0208        51.0419
  1           3           3          23       -52.0216        50.6331
  1           3           3          24       -50.0225        49.8154
  1           3           3          25       -48.0234        48.7934
  1           3           3          26       -46.0244        47.3624
  1           3           3          27       -44.0256        46.5448
  1           3           3          28       -42.0268         44.705
  1           3           3          29       -40.0281        44.0917
  1           3           3          30       -38.0296         42.252
  1           3           3          31       -36.0312        41.4343
  1           3           3          32       -34.0331        40.8211
  1           3           3          33       -32.0351        40.0034
  1           3           3          34       -30.0375        38.5725
  1           3           3          35       -28.0401         37.346
  1           3           3          36       -26.0432        36.3239
  1           3           3          37       -24.0468        35.7106
  1           3           3          38       -22.0511        34.4841
  1           3           3          39       -20.0562        32.6443
  1           3           3          40       -18.0624        29.9869
  1           3           3          41       -16.0702        27.7383
  1           3           3          42       -14.0801        25.4897
  1           3           3          43       -12.0934        22.6279
  1           3           3          44       -10.1119        19.5616
  1           3           3          45       -8.13941        16.4953
  1           3           3          46       -6.18466         12.407
  1           3           3          47         -4.272        9.54513
  1           3           3          48           -2.5        7.29654
