     Ensemble #      SOURCE        CHAN         OFFSET        FB_PICK
  1           1           1           1        2.62488        11.3029
  1           1           1           2        4.34626        31.7071
  1           1           1           3        6.23618        37.5044
  1           1           1           4        8.17863        41.4466
  1           1           1           5        10.1435        44.6931
  1           1           1           6        12.1198        47.4759
  1           1           1           7        14.1028        49.6172
  1           1           1           8        16.0901         53.601
  1           1           1           9        18.0801        56.8817
  1           1           1          10        20.0721        59.9281
  1           1           1          11        22.0656        62.7402
  1           1           1          12        24.0601        64.1462
  1           1           1          13        26.0555        65.4033
  1           1           1          14        28.0516         67.733
  1           1           1          15        30.0481        70.3269
  1           1           1          16        32.0451        71.7918
  1           1           1          17        34.0425        73.2569
  1           1           1          18        36.0401        74.0234
  1           1           1          19         38.038        74.9553
  1           1           1          20        40.0361        76.3803
  1           1           1          21        42.0344        76.8735
  1           1           1          22        44.0328        77.3667
  1           1           1          23        46.0314          77.86
  1           1           1          24        48.0301        78.3533
  1           1           1          25        50.0289        78.8466
  1           1           1          26        52.0278          79.34
  1           1           1          27        54.0268        79.8333
  1           1           1          28        56.0258        80.3267
  1           1           1          29        58.0249        81.4785
  1           1           1          30        60.0241        82.1775
  1           1           1          31        62.0233        83.3423
  1           1           1          32        64.0226        83.5753
  1           1           1          33        66.0219        83.8083
  1           1           1          34        68.0212        84.5072
  1           1           1          35        70.0206        84.5072
  1           1           1          36        72.0201        84.8852
  1           1           1          37        74.0195        85.6721
  1           1           1          38         76.019        86.3921
  1           1           1          39        78.0185        87.1122
  1           1           1          40        80.0181        87.8323
  1           1           1          41        82.0176        88.5524
  1           1           1          42        84.0172        89.2725
  1           1           1          43        86.0168        89.6326
  1           1           1          44        88.0164         90.275
  1           1           1          45        90.0161        91.4328
  1           1           1          46        92.0157        92.1529
  1           1           1          47        94.0154        92.8731
  1           1           1          48        96.0151        93.5932

  1           2           2           1       -47.0272        79.0267
  1           2           2           2       -45.0284        77.2691
  1           2           2           3       -43.0298        75.5116
  1           2           2           4       -41.0312        74.2228
  1           2           2           5       -39.0328        73.4904
  1           2           2           6       -37.0346         72.758
  1           2           2           7       -35.0366        72.0257
  1           2           2           8       -33.0388        71.2935
  1           2           2           9       -31.0413        70.4734
  1           2           2          10       -29.0441        68.9889
  1           2           2          11       -27.0474        67.5047
  1           2           2          12       -25.0511        66.0209
  1           2           2          13       -23.0556        64.4977
  1           2           2          14       -21.0609        60.6288
  1           2           2          15       -19.0672        56.7619
  1           2           2          16       -17.0751         53.601
  1           2           2          17       -15.0851        47.5082
  1           2           2          18       -13.0981        42.0012
  1           2           2          19       -11.1158        34.8539
  1           2           2          20       -9.14112        28.1753
  1           2           2          21       -7.18053        20.7936
  1           2           2          22       -5.24976        16.6927
  1           2           2          23           -3.4        12.2403
  1           2           2          24        -1.8868        7.43633
  1           2           2          25         1.8868        8.02217
  1           2           2          26            3.4         13.543
  1           2           2          27        5.24976        24.9222
  1           2           2          28        7.18053        31.8487
  1           2           2          29        9.14112        39.0225
  1           2           2          30        11.1158        44.2173
  1           2           2          31        13.0981        47.9279
  1           2           2          32        15.0851        51.1438
  1           2           2          33        17.0751        54.5663
  1           2           2          34        19.0672        56.3173
  1           2           2          35        21.0609        57.2777
  1           2           2          36        23.0556        58.6684
  1           2           2          37        25.0511        60.0596
  1           2           2          38        27.0474        61.4513
  1           2           2          39        29.0441        62.3887
  1           2           2          40        31.0413        62.3887
  1           2           2          41        33.0388        62.0282
  1           2           2          42        35.0366        63.4432
  1           2           2          43        37.0346        64.0291
  1           2           2          44        39.0328        65.4914
  1           2           2          45        41.0312        66.4896
  1           2           2          46        43.0298        67.5441
  1           2           2          47        45.0284        69.3602
  1           2           2          48        47.0272        71.1764

  1           3           3           1       -96.0133        98.4213
  1           3           3           2       -94.0136        97.5713
  1           3           3           3       -92.0139        97.0877
  1           3           3           4       -90.0142        95.7498
  1           3           3           5       -88.0145        95.2238
  1           3           3           6       -86.0149        93.8068
  1           3           3           7       -84.0152        93.3599
  1           3           3           8       -82.0156         92.428
  1           3           3           9        -80.016         91.621
  1           3           3          10       -78.0164        90.1638
  1           3           3          11       -76.0168        89.6323
  1           3           3          12       -74.0173        87.8565
  1           3           3          13       -72.0178        87.1279
  1           3           3          14       -70.0183        86.2778
  1           3           3          15       -68.0188        85.4278
  1           3           3          16       -66.0194        84.6992
  1           3           3          17         -64.02        84.0412
  1           3           3          18       -62.0206        83.4848
  1           3           3          19       -60.0213        82.9991
  1           3           3          20       -58.0221        81.7323
  1           3           3          21       -56.0229        80.4614
  1           3           3          22       -54.0237        78.8703
  1           3           3          23       -52.0246        77.1702
  1           3           3          24       -50.0256        76.3202
  1           3           3          25       -48.0267        74.9844
  1           3           3          26       -46.0278        73.6486
  1           3           3          27       -44.0291        72.8368
  1           3           3          28       -42.0305        71.5662
  1           3           3          29        -40.032        70.7342
  1           3           3          30       -38.0337        69.5968
  1           3           3          31       -36.0355        67.4748
  1           3           3          32       -34.0376         65.353
  1           3           3          33         -32.04        63.2315
  1           3           3          34       -30.0426        61.1103
  1           3           3          35       -28.0457        58.9894
  1           3           3          36       -26.0492        57.7406
  1           3           3          37       -24.0533        56.0405
  1           3           3          38       -22.0581        53.9761
  1           3           3          39       -20.0639        52.0331
  1           3           3          40        -18.071        49.1187
  1           3           3          41       -16.0798        46.7654
  1           3           3          42       -14.0911        42.9636
  1           3           3          43       -12.1062         39.169
  1           3           3          44       -10.1272        35.3857
  1           3           3          45       -8.15843        32.4821
  1           3           3          46       -6.20967        27.7648
  1           3           3          47       -4.30813        20.9052
  1           3           3          48       -2.56125        14.1489
