  Ensemble    #   SOURCE   CHAN     OFFSET    FB_PICK
         1    1        1      1       2.00     10.980
         2    2        1      2       4.00     32.660
         3    3        1      3       6.00     37.190
         4    4        1      4       8.00     40.640
         5    5        1      5      10.00     45.180
         6    6        1      6      12.00     46.880
         7    7        1      7      14.00     49.700
         8    8        1      8      16.00     53.980
         9    9        1      9      18.00     56.870
        10   10        1     10      20.00     59.380
        11   11        1     11      22.00     62.220
        12   12        1     12      24.00     63.740
        13   13        1     13      26.00     65.250
        14   14        1     14      28.00     67.470
        15   15        1     15      30.00     69.650
        16   16        1     16      32.00     71.400
        17   17        1     17      34.00     72.920
        18   18        1     18      36.00     74.380
        19   19        1     19      38.00     75.180
        20   20        1     20      40.00     75.820
        21   21        1     21      42.00     76.260
        22   22        1     22      44.00     76.440
        23   23        1     23      46.00     77.330
        24   24        1     24      48.00     77.740
        25   25        1     25      50.00     78.490
        26   26        1     26      52.00     79.270
        27   27        1     27      54.00     79.710
        28   28        1     28      56.00     79.920
        29   29        1     29      58.00     80.780
        30   30        1     30      60.00     81.830
        31   31        1     31      62.00     82.510
        32   32        1     32      64.00     83.160
        33   33        1     33      66.00     83.160
        34   34        1     34      68.00     84.240
        35   35        1     35      70.00     84.260
        36   36        1     36      72.00     84.470
        37   37        1     37      74.00     85.080
        38   38        1     38      76.00     85.740
        39   39        1     39      78.00     85.960
        40   40        1     40      80.00     86.400
        41   41        1     41      82.00     87.260
        42   42        1     42      84.00     88.120
        43   43        1     43      86.00     88.770
        44   44        1     44      88.00     89.200
        45   45        1     45      90.00     90.280
        46   46        1     46      92.00     91.220
        47   47        1     47      94.00     91.870
        48   48        1     48      96.00     92.520

        49   49        2      1     -47.00     75.610
        50   50        2      2     -45.00     74.960
        51   51        2      3     -43.00     73.080
        52   52        2      4     -41.00     72.060
        53   53        2      5     -39.00     71.790
        54   54        2      6     -37.00     70.260
        55   55        2      7     -35.00     69.350
        56   56        2      8     -33.00     69.130
        57   57        2      9     -31.00     68.480
        58   58        2     10     -29.00     67.400
        59   59        2     11     -27.00     66.540
        60   60        2     12     -25.00     64.490
        61   61        2     13     -23.00     62.820
        62   62        2     14     -21.00     61.150
        63   63        2     15     -19.00     59.070
        64   64        2     16     -17.00     55.640
        65   65        2     17     -15.00     50.510
        66   66        2     18     -13.00     43.590
        67   67        2     19     -11.00     37.950
        68   68        2     20      -9.00     31.540
        69   69        2     21      -7.00     23.650
        70   70        2     22      -5.00     18.460
        71   71        2     23      -3.00     13.590
        72   72        2     24      -1.00      8.460
        73   73        2     25       1.00      6.920
        74   74        2     26       3.00     13.510
        75   75        2     27       5.00     18.160
        76   76        2     28       7.00     37.820
        77   77        2     29       9.00     44.100
        78   78        2     30      11.00     49.490
        79   79        2     31      13.00     52.050
        80   80        2     32      15.00     52.820
        81   81        2     33      17.00     54.670
        82   82        2     34      19.00     55.870
        83   83        2     35      21.00     57.440
        84   84        2     36      23.00     57.950
        85   85        2     37      25.00     58.970
        86   86        2     38      27.00     60.260
        87   87        2     39      29.00     61.150
        88   88        2     40      31.00     61.850
        89   89        2     41      33.00     62.550
        90   90        2     42      35.00     63.250
        91   91        2     43      37.00     63.950
        92   92        2     44      39.00     64.810
        93   93        2     45      41.00     65.680
        94   94        2     46      43.00     67.120
        95   95        2     47      45.00     68.560
        96   96        2     48      47.00     69.990

        97   97        3      1     -96.00     96.920
        98   98        3      2     -94.00     95.680
        99   99        3      3     -92.00     94.360
       100  100        3      4     -90.00     93.590
       101  101        3      5     -88.00     92.050
       102  102        3      6     -86.00     91.250
       103  103        3      7     -84.00     90.580
       104  104        3      8     -82.00     89.920
       105  105        3      9     -80.00     89.250
       106  106        3     10     -78.00     88.580
       107  107        3     11     -76.00     87.260
       108  108        3     12     -74.00     86.610
       109  109        3     13     -72.00     86.010
       110  110        3     14     -70.00     85.530
       111  111        3     15     -68.00     84.880
       112  112        3     16     -66.00     83.960
       113  113        3     17     -64.00     83.040
       114  114        3     18     -62.00     82.110
       115  115        3     19     -60.00     81.190
       116  116        3     20     -58.00     80.260
       117  117        3     21     -56.00     79.340
       118  118        3     22     -54.00     78.410
       119  119        3     23     -52.00     76.680
       120  120        3     24     -50.00     75.820
       121  121        3     25     -48.00     74.100
       122  122        3     26     -46.00     73.020
       123  123        3     27     -44.00     72.150
       124  124        3     28     -42.00     70.510
       125  125        3     29     -40.00     69.490
       126  126        3     30     -38.00     68.700
       127  127        3     31     -36.00     67.190
       128  128        3     32     -34.00     65.030
       129  129        3     33     -32.00     62.560
       130  130        3     34     -30.00     61.030
       131  131        3     35     -28.00     58.930
       132  132        3     36     -26.00     57.530
       133  133        3     37     -24.00     56.150
       134  134        3     38     -22.00     54.870
       135  135        3     39     -20.00     52.310
       136  136        3     40     -18.00     50.100
       137  137        3     41     -16.00     47.570
       138  138        3     42     -14.00     44.890
       139  139        3     43     -12.00     41.030
       140  140        3     44     -10.00     36.920
       141  141        3     45      -8.00     33.090
       142  142        3     46      -6.00     27.700
       143  143        3     47      -4.00     21.250
       144  144        3     48      -2.00     14.310
